 ID, FPL Name, Player ID, Full Name, Team, Availability, Position, Current Price, Value Season, Cost Change from Start, Percentage Selected By, Transfers In, Transfers Out, Total Points,  Points Per Game, Minutes, Goals Scored, Assists, Clean Sheets, Goals Conceded, Own Goals, Penalties Saved, Penalties Missed, Yellow Cards, Red Cards, Saves, Bonus Points, Bonus Point System Score, Influence, Creativity, Threat,  ICT Index,
            427,        Martínez,        98980,        Emiliano Martínez,Arsenal,Available,        1,        44,        0.0,        -1,        0.3,        3944,        10295,        0,        0.0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0.0,        0.0,        0.0,        0.0,    
            467,        Chambers,        101184,        Calum Chambers,Arsenal,Available,        2,        44,        5.9,        -1,        1.6,        117351,        78843,        26,        3.2,        675,        1,        0,        2,        8,        0,        0,        0,        3,        0,        0,        2,        115,        153.2,        87.1,        120.0,        35.9,    
            469,        Ceballos,        182539,        Daniel Ceballos Fernández,Arsenal,Hamstring injury - Unknown return date,        3,        53,        5.0,        -2,        5.1,        994884,        994699,        27,        2.5,        659,        0,        2,        1,        10,        0,        0,        0,        0,        0,        0,        3,        130,        150.0,        183.0,        96.0,        42.9,    
            488,        Pépé,        195735,        Nicolas Pépé,Arsenal,Available,        3,        92,        3.5,        -3,        2.8,        202860,        377086,        32,        2.9,        739,        1,        2,        1,        13,        0,        0,        0,        1,        0,        0,        2,        120,        176.6,        280.3,        261.0,        72.0,    
            489,        Nelson,        200641,        Reiss Nelson,Arsenal,Available,        3,        53,        0.9,        -2,        0.1,        7399,        13495,        5,        1.2,        150,        0,        0,        1,        2,        0,        0,        0,        1,        0,        0,        0,        15,        27.2,        50.3,        67.0,        14.5,    
            490,        Willock,        200089,        Joseph Willock,Arsenal,Available,        3,        49,        2.7,        -1,        0.2,        22859,        25542,        13,        1.4,        361,        0,        0,        1,        6,        0,        0,        0,        0,        0,        0,        0,        60,        52.6,        93.0,        62.0,        20.8,    
            504,        Martinelli,        444145,        Gabriel Teodoro Martinelli Silva,Arsenal,Available,        4,        45,        0.7,        0,        1.5,        142841,        129608,        3,        0.8,        75,        0,        0,        0,        1,        0,        0,        0,        1,        0,        0,        0,        2,        6.8,        5.4,        18.0,        3.0,    
            515,        Tierney,        192895,        Kieran Tierney,Arsenal,Available,        2,        54,        0.6,        -1,        1.0,        65346,        57837,        3,        1.5,        160,        0,        0,        0,        3,        0,        0,        0,        0,        0,        0,        0,        27,        29.0,        19.6,        9.0,        5.8,    
            541,        Saka,        223340,        Bukayo Saka,Arsenal,Available,        3,        45,        2.7,        0,        1.0,        111827,        47300,        12,        2.0,        342,        0,        1,        1,        4,        0,        0,        0,        1,        0,        0,        0,        41,        64.4,        91.4,        88.0,        24.5,    
            22,        El Mohamady,        37339,        Ahmed El Mohamady,Aston Villa,Available,        2,        42,        1.7,        -3,        1.0,        40287,        111583,        7,        1.2,        251,        0,        0,        0,        9,        0,        0,        0,        0,        0,        0,        3,        59,        70.6,        88.3,        2.0,        16.1,    
            23,        Chester,        43252,        James Chester,Aston Villa,Available,        2,        43,        0.0,        -2,        0.1,        536,        6031,        0,        0.0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0.0,        0.0,        0.0,        0.0,    
            24,        Taylor,        47390,        Neil Taylor,Aston Villa,Available,        2,        44,        3.8,        -1,        0.3,        16980,        19080,        17,        2.1,        613,        0,        0,        2,        12,        0,        0,        0,        1,        0,        0,        0,        98,        99.8,        28.5,        27.0,        15.6,    
            25,        Hause,        123354,        Kortney Hause,Aston Villa,Available,        2,        44,        0.0,        -1,        0.1,        663,        3473,        0,        0.0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0.0,        0.0,        0.0,        0.0,    
            26,        Kodjia,        54764,        Jonathan Kodjia,Aston Villa,Available,        4,        54,        0.4,        -1,        0.1,        2776,        24946,        2,        1.0,        20,        0,        0,        0,        4,        0,        0,        0,        0,        0,        0,        0,        7,        2.0,        0.0,        2.0,        0.4,    
            27,        Nyland,        98770,        Ørjan Nyland,Aston Villa,Available,        1,        43,        0.5,        -2,        0.2,        2662,        7580,        2,        2.0,        82,        0,        0,        0,        2,        0,        0,        0,        0,        0,        3,        0,        13,        22.8,        0.0,        0.0,        2.3,    
            28,        Hourihane,        85242,        Conor Hourihane,Aston Villa,Available,        3,        57,        3.3,        -3,        0.1,        5239,        16130,        19,        2.7,        351,        1,        1,        1,        7,        0,        0,        0,        2,        0,        0,        1,        73,        97.8,        118.8,        123.0,        33.9,    
            29,        Grealish,        114283,        Jack Grealish,Aston Villa,Calf injury - 75% chance of playing,        3,        59,        7.3,        -1,        3.9,        235685,        360600,        43,        4.3,        893,        2,        3,        2,        16,        0,        0,        0,        3,        0,        0,        5,        190,        293.6,        324.7,        206.0,        82.5,    
            30,        El Ghazi,        193488,        Anwar El Ghazi,Aston Villa,Available,        3,        55,        7.3,        0,        1.6,        171873,        98598,        40,        3.6,        745,        2,        3,        2,        14,        0,        0,        0,        1,        0,        0,        0,        135,        209.6,        183.1,        302.0,        69.3,    
            31,        McGinn,        122806,        John McGinn,Aston Villa,Available,        3,        58,        8.6,        3,        11.9,        1166454,        568481,        50,        4.2,        1080,        3,        2,        2,        20,        0,        0,        0,        1,        0,        0,        4,        195,        315.0,        234.3,        330.0,        87.9,    
            32,        Green,        174597,        Andre Green,Aston Villa,Joined Preston North End on loan until the end of the season on 1/8. - Expected back 01 Jul,        3,        49,        0.0,        -1,        0.0,        214,        1221,        0,        0.0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0.0,        0.0,        0.0,        0.0,    
            33,        Bjarnason,        27770,        Birkir Bjarnason,Aston Villa,Left Aston Villa by mutual consent on 8/8.,        3,        45,        0.0,        0,        0.0,        471,        6920,        0,        0.0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0.0,        0.0,        0.0,        0.0,    
            34,        Davis,        221239,        Keinan Davis,Aston Villa,Hamstring injury - Expected back 01 Dec,        3,        44,        1.4,        -1,        0.3,        13099,        22038,        6,        1.0,        74,        0,        0,        0,        1,        0,        0,        0,        0,        0,        0,        0,        16,        14.4,        23.3,        46.0,        8.2,    
            35,        Lansbury,        40564,        Henri Lansbury,Aston Villa,Available,        3,        44,        0.7,        -1,        0.6,        66116,        47564,        3,        1.0,        30,        0,        0,        0,        1,        0,        0,        0,        0,        0,        0,        0,        10,        6.4,        21.5,        4.0,        3.3,    
            36,        Jota,        89274,        José Ignacio Peleteiro Romallo,Aston Villa,Hernia - 75% chance of playing,        3,        58,        2.1,        -2,        0.1,        10736,        23186,        12,        2.4,        245,        0,        1,        2,        3,        0,        0,        0,        0,        0,        0,        0,        32,        41.8,        53.7,        21.0,        11.6,    
            94,        Heaton,        21205,        Tom Heaton,Aston Villa,Calf injury - 75% chance of playing,        1,        45,        6.9,        0,        5.7,        223655,        244403,        31,        2.8,        990,        0,        0,        2,        18,        0,        0,        0,        0,        0,        32,        0,        176,        242.2,        0.0,        0.0,        24.1,    
            309,        Targett,        169359,        Matt Targett,Aston Villa,Head injury - 75% chance of playing,        2,        44,        6.1,        -1,        0.8,        39076,        66190,        27,        4.5,        466,        1,        1,        1,        8,        0,        0,        0,        0,        0,        0,        5,        128,        156.6,        129.8,        24.0,        31.1,    
            428,        Wesley,        213345,        Wesley Moraes,Aston Villa,Available,        4,        60,        8.0,        0,        2.5,        349027,        261644,        48,        4.0,        1014,        4,        1,        3,        16,        0,        0,        1,        0,        0,        0,        7,        135,        210.0,        82.1,        405.0,        68.3,    
            429,        Steer,        79852,        Jed Steer,Aston Villa,Achilles injury - 75% chance of playing,        1,        44,        0.2,        -1,        0.1,        934,        4658,        1,        1.0,        7,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        3,        0.0,        0.0,        0.0,        0.0,    
            445,        Mings,        149484,        Tyrone Mings,Aston Villa,Available,        2,        46,        6.3,        1,        5.1,        422892,        226623,        29,        2.4,        1080,        0,        1,        2,        20,        0,        0,        0,        2,        0,        0,        3,        207,        325.2,        38.8,        18.0,        38.3,    
            452,        Konsa,        199798,        Ezri Konsa Ngoyo,Aston Villa,Available,        2,        43,        0.5,        -2,        0.1,        874,        3124,        2,        1.0,        105,        0,        0,        0,        3,        0,        0,        0,        0,        0,        0,        0,        18,        20.0,        10.6,        0.0,        3.1,    
            455,        Engels,        108156,        Bjorn Engels,Aston Villa,Hip injury - 75% chance of playing,        2,        45,        6.9,        0,        0.9,        90022,        52040,        31,        2.8,        974,        0,        0,        3,        17,        0,        0,        0,        1,        0,        0,        4,        172,        205.6,        5.2,        19.0,        23.2,    
            458,        Guilbert,        203368,        Frédéric Guilbert,Aston Villa,Available,        2,        44,        6.8,        -1,        0.7,        57934,        45745,        30,        3.0,        872,        0,        2,        3,        13,        0,        0,        0,        4,        0,        0,        0,        140,        194.6,        106.3,        31.0,        33.1,    
            465,        Trézéguet,        148508,        Mahmoud Ahmed Ibrahim Hassan,Aston Villa,Available,        3,        52,        5.2,        -3,        1.4,        81624,        189903,        27,        2.5,        692,        2,        1,        1,        13,        0,        0,        0,        2,        1,        0,        1,        76,        183.8,        120.2,        321.0,        62.4,    
            470,        Douglas Luiz,        230046,        Douglas Luiz Soares de Paulo,Aston Villa,Available,        3,        45,        6.7,        0,        4.0,        492383,        296636,        30,        3.0,        545,        2,        0,        3,        10,        0,        0,        0,        1,        0,        0,        2,        114,        139.0,        54.6,        67.0,        26.2,    
            474,        Kalinic,        88175,        Lovre Kalinic,Aston Villa,Available,        1,        44,        0.0,        -1,        0.1,        985,        3361,        0,        0.0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0.0,        0.0,        0.0,        0.0,    
            491,        Nakamba,        184704,        Marvelous Nakamba,Aston Villa,Available,        3,        44,        3.6,        -1,        1.3,        115788,        55862,        16,        2.0,        682,        0,        0,        1,        13,        0,        0,        0,        1,        0,        0,        0,        119,        153.8,        75.0,        18.0,        24.8,    
            58,        Steve Cook,        56917,        Steve Cook,Bournemouth,Available,        2,        50,        6.6,        0,        0.4,        23579,        15879,        33,        2.8,        1080,        0,        0,        3,        15,        0,        0,        0,        2,        0,        0,        3,        197,        280.0,        23.9,        48.0,        35.3,    
            59,        Aké,        126184,        Nathan Aké,Bournemouth,Available,        2,        51,        8.8,        1,        14.9,        457130,        614205,        45,        3.8,        1080,        1,        1,        3,        15,        0,        0,        0,        1,        0,        0,        5,        249,        290.4,        57.2,        120.0,        46.7,    
            60,        Daniels,        41320,        Charlie Daniels,Bournemouth,Knee injury - Unknown return date,        2,        43,        0.7,        -2,        0.1,        3091,        15603,        3,        1.5,        126,        0,        0,        0,        2,        0,        0,        0,        0,        0,        0,        0,        18,        22.4,        29.6,        0.0,        5.2,    
            61,        Mepham,        223911,        Chris Mepham,Bournemouth,Available,        2,        44,        3.0,        -1,        0.9,        84452,        96046,        13,        3.2,        271,        1,        0,        0,        7,        0,        0,        0,        0,        0,        0,        2,        53,        91.6,        2.5,        72.0,        16.6,    
            62,        Francis,        15149,        Simon Francis,Bournemouth,Available,        2,        44,        0.7,        -1,        0.0,        866,        825,        3,        1.0,        36,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        14,        17.4,        20.0,        18.0,        5.6,    
            63,        Adam Smith,        54469,        Adam Smith,Bournemouth,Available,        2,        43,        6.7,        -2,        0.9,        40868,        82022,        29,        3.6,        657,        0,        1,        3,        9,        0,        0,        0,        2,        0,        0,        3,        135,        107.2,        68.7,        69.0,        24.5,    
            64,        Kelly,        235530,        Lloyd Kelly,Bournemouth,Thigh injury - 75% chance of playing,        2,        44,        0.0,        -1,        0.1,        3341,        6082,        0,        0.0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0.0,        0.0,        0.0,        0.0,    
            65,        Rico,        171129,        Diego Rico,Bournemouth,Available,        2,        43,        7.9,        3,        14.1,        890658,        303080,        34,        3.8,        785,        0,        2,        3,        8,        0,        0,        0,        2,        0,        0,        2,        166,        208.0,        236.4,        37.0,        48.3,    
            66,        Simpson,        222434,        Jack Simpson,Bournemouth,Available,        2,        40,        0.0,        0,        6.3,        147463,        258689,        0,        0.0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0.0,        0.0,        0.0,        0.0,    
            67,        Callum Wilson,        75115,        Callum Wilson,Bournemouth,Available,        4,        78,        6.9,        -2,        9.3,        693931,        1229967,        54,        4.5,        1040,        5,        3,        3,        15,        0,        0,        0,        3,        0,        0,        4,        180,        230.4,        178.9,        336.0,        74.7,    
            68,        King,        78007,        Joshua King,Bournemouth,Available,        4,        63,        7.9,        -2,        9.5,        601477,        1216339,        50,        4.2,        1006,        3,        3,        2,        15,        0,        0,        0,        0,        0,        0,        6,        161,        248.4,        215.1,        249.0,        71.3,    
            69,        Solanke,        154566,        Dominic Solanke,Bournemouth,Available,        4,        53,        3.0,        -2,        0.4,        22772,        38247,        16,        1.5,        481,        0,        0,        1,        6,        0,        0,        0,        0,        0,        0,        0,        23,        29.4,        55.0,        195.0,        27.8,    
            71,        Surridge,        217331,        Sam Surridge,Bournemouth,Joined Swansea City on loan until the end of the season on 6/8. - Expected back 01 Jul,        4,        44,        0.0,        -1,        0.5,        40068,        65965,        0,        0.0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0.0,        0.0,        0.0,        0.0,    
            72,        Begovic,        40349,        Asmir Begovic,Bournemouth,Joined Qarabag on loan until January on 2/9. - Expected back 01 Feb,        1,        43,        0.0,        -2,        1.0,        11611,        139382,        0,        0.0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0.0,        0.0,        0.0,        0.0,    
            73,        Boruc,        18726,        Artur Boruc,Bournemouth,Available,        1,        44,        0.0,        -1,        0.3,        5450,        15794,        0,        0.0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0.0,        0.0,        0.0,        0.0,    
            74,        Travers,        229600,        Mark Travers,Bournemouth,Available,        1,        43,        0.0,        -2,        0.2,        2287,        9930,        0,        0.0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0.0,        0.0,        0.0,        0.0,    
            75,        Fraser,        90105,        Ryan Fraser,Bournemouth,Knock - 75% chance of playing,        3,        70,        4.7,        -5,        3.5,        110695,        1038419,        33,        3.0,        807,        1,        2,        3,        10,        0,        0,        0,        2,        0,        0,        2,        116,        157.0,        220.4,        202.0,        57.7,    
            76,        Brooks,        111317,        David Brooks,Bournemouth,Ankle injury - Unknown return date,        3,        63,        0.0,        -2,        0.1,        524,        17779,        0,        0.0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0.0,        0.0,        0.0,        0.0,    
            77,        Stanislas,        56872,        Junior Stanislas,Bournemouth,Knee injury - Unknown return date,        3,        59,        0.0,        -1,        0.0,        174,        338,        0,        0.0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0.0,        0.0,        0.0,        0.0,    
            78,        Ibe,        103912,        Jordon Ibe,Bournemouth,Available,        3,        47,        0.4,        -3,        0.2,        5005,        19274,        2,        1.0,        48,        0,        0,        0,        1,        0,        0,        0,        0,        0,        0,        0,        10,        6.8,        5.4,        0.0,        1.2,    
            79,        Lewis Cook,        155408,        Lewis Cook,Bournemouth,Available,        3,        50,        2.0,        0,        0.0,        2788,        1851,        10,        1.7,        274,        0,        0,        1,        3,        0,        0,        0,        0,        0,        0,        0,        47,        51.2,        19.6,        10.0,        8.1,    
